timestamp,sampleNum,Filtered_PPG
1721373999023.9492,1,2.231743199938598
1721373999033.8984,2,2.708858848954758
1721373999043.8477,3,3.200991943886666
1721373999053.7966,4,3.702282621455976
1721373999063.7458,5,4.207802662157661
1721373999073.6953,6,4.713928351512909
1721373999083.6443,7,5.218533427871153
1721373999093.5935,8,5.720974222664427
1721373999103.5427,9,6.221860587112271
1721373999113.492,10,6.722645239559912
1721373999123.441,11,7.2251023256091225
1721373999133.39,12,7.73077541464147
1721373999143.3394,13,8.240453409784337
1721373999153.2886,14,8.753705047094813
1721373999163.2378,15,9.268492159580989
1721373999173.187,16,9.780883912281295
1721373999183.1362,17,10.284885193221099
1721373999193.0854,18,10.772376342362804
1721373999203.0344,19,11.233165403240742
1721373999212.9836,20,11.65516660768937
1721373999222.9329,21,12.024714748746794
1721373999232.882,22,12.32701555155251
1721373999242.8313,23,12.546717893543194
1721373999252.7805,24,12.668564365278431
1721373999262.7295,25,12.678062874701803
1721373999272.6787,26,12.56214456346586
1721373999282.628,27,12.309796433933267
1721373999292.5771,28,11.912652380372364
1721373999302.5264,29,11.365510904717858
1721373999312.4756,30,10.666743995023916
1721373999322.4248,31,9.818566557163622
1721373999332.374,32,8.827139495722818
1721373999342.323,33,7.702489429288591
1721373999352.2722,34,6.458249924256121
1721373999362.2214,35,5.111249328023486
1721373999372.171,36,3.680978844482964
1721373999382.12,37,2.188976897228632
1721373999392.069,38,0.6581678675475156
1721373999402.0183,39,-0.8878074495079054
1721373999411.9675,40,-2.4252410391894874
1721373999421.9165,41,-3.930973994258089
1721373999431.8655,42,-5.382982640261291
1721373999441.8147,43,-6.760937800067888
1721373999451.7642,44,-8.04672139844352
1721373999461.7134,45,-9.224865296520335
1721373999471.6626,46,-10.282882361995581
1721373999481.6118,47,-11.211478509683989
1721373999491.5608,48,-12.004640863736938
1721373999501.51,49,-12.659600527444006
1721373999511.4592,50,-13.176682221327448
1721373999521.4084,51,-13.559059455814987
1721373999531.3577,52,-13.812430708530428
1721373999541.307,53,-13.944634385918004
1721373999551.256,54,-13.965219990579557
1721373999561.205,55,-13.884989215942705
1721373999571.1543,56,-13.71552747409937
1721373999581.1035,57,-13.468751004041373
1721373999591.0527,58,-13.156486721750293
1721373999601.002,59,-12.790097392749589
1721373999610.9512,60,-12.38016131736
1721373999620.9004,61,-11.9362017956051
1721373999630.8496,62,-11.466457600900807
1721373999640.7986,63,-10.977705214310642
1721373999650.7478,64,-10.475160420726514
1721373999660.697,65,-9.962474956907007
1721373999670.6462,66,-9.441812015982526
1721373999680.5957,67,-8.913969964416326
1721373999690.545,68,-8.378543333177875
1721373999700.494,69,-7.834127921375655
1721373999710.4429,70,-7.278562479800525
1721373999720.392,71,-6.70917460300632
1721373999730.3413,72,-6.122994901423626
1721373999740.2903,73,-5.516923093876741
1721373999750.2395,74,-4.887851552747231
1721373999760.189,75,-4.232761268340301
1721373999770.1382,76,-3.548805752636724
1721373999780.0872,77,-2.8333949961962945
1721373999790.0364,78,-2.084284456481775
1721373999799.9856,79,-1.2996669081310075
1721373999809.9348,80,-0.4782652196957658
1721373999819.884,81,0.38056459322230274
1721373999829.8333,82,1.2767033650039303
1721373999839.7825,83,2.20910657487104
1721373999849.7314,84,3.1756182225241236
1721373999859.681,85,4.172773283373289
1721373999869.63,86,5.195609818920493
1721373999879.579,87,6.237518912717227
1721373999889.5283,88,7.290149380852143
1721373999899.4775,89,8.34336551755215
1721373999909.4268,90,9.385250676239002
1721373999919.376,91,10.402160358532681
1721373999929.325,92,11.378843474788134
1721373999939.2742,93,12.298655440962044
1721373999949.2234,94,13.143876861087067
1721373999959.1726,95,13.896135765469085
1721373999969.1218,96,14.53692444781312
1721373999979.071,97,15.048203314775668
1721373999989.0205,98,15.413077639429739
1721373999998.9692,99,15.616514058654912
1721374000008.9185,100,15.646047469726877
1721374000018.8677,101,15.492428894276623
1721374000028.817,102,15.150175203926679
1721374000038.766,103,14.61799036863708
1721374000048.715,104,13.899033925467577
1721374000058.6646,105,13.001016358053025
1721374000068.6135,106,11.936104287672052
1721374000078.5627,107,10.720635244248484
1721374000088.512,108,9.374670383396374
1721374000098.4612,109,7.9214192735138615
1721374000108.4104,110,6.386550458931019
1721374000118.3596,111,4.797397327588363
1721374000128.3088,112,3.182090752908954
1721374000138.258,113,1.568667000939228
1721374000148.207,114,-0.015800880819656384
1721374000158.1562,115,-1.546006433339404
1721374000168.1057,116,-2.9991106563787175
1721374000178.0547,117,-4.355307543319801
1721374000188.004,118,-5.598230600428764
1721374000197.9531,119,-6.715188589844162
1721374000207.9023,120,-7.69723009351309
1721374000217.8513,121,-8.539051389989229
1721374000227.8003,122,-9.238781996061961
1721374000237.7498,123,-9.7976934200488
1721374000247.699,124,-10.219863598221052
1721374000257.6482,125,-10.51180496830326
1721374000267.5974,126,-10.682061298280725
1721374000277.5466,127,-10.740800771311507
1721374000287.4956,128,-10.69944516020005
1721374000297.4448,129,-10.570350288158203
1721374000307.394,130,-10.366511674941007
1721374000317.3433,131,-10.101257579977675
1721374000327.2925,132,-9.78791845760009
1721374000337.2417,133,-9.439490729197303
1721374000347.191,134,-9.06831705499017
1721374000357.14,135,-8.685791661169812
1721374000367.089,136,-8.302087386390284
1721374000377.0383,137,-7.925901877600839
1721374000386.9875,138,-7.5642328842574384
1721374000396.9368,139,-7.222207468773381
1721374000406.886,140,-6.902989418849196
1721374000416.8352,141,-6.6077702852085425
1721374000426.7844,142,-6.335836218792317
1721374000436.7334,143,-6.084706045641921
1721374000446.6826,144,-5.850337453913951
1721374000456.6318,145,-5.627385283322123
1721374000466.5813,146,-5.409479197066367
1721374000476.5305,147,-5.189484374963518
1721374000486.4795,148,-4.959722978225087
1721374000496.4287,149,-4.712158601008048
1721374000506.3777,150,-4.438566192689125
1721374000516.327,151,-4.130709670239792
1721374000526.276,152,-3.7805344077437746
1721374000536.225,153,-3.380375002349471
1721374000546.1746,154,-2.9231822066226316
1721374000556.1238,155,-2.402777857669807
1721374000566.073,156,-1.8141502401579022
